move_number,move,best_move,evaluation,reply,board,str_reply,accurate
27,e5f6,d1e2,1.87,"[Move.from_uci('e7f6'), Move.from_uci('d1d3'), Move.from_uci('c7c6'), Move.from_uci('e1c1'), Move.from_uci('a7c8'), Move.from_uci('d3g6'), Move.from_uci('d7f7'), Move.from_uci('d1e1'), Move.from_uci('f8e7'), Move.from_uci('g6d3'), Move.from_uci('g7g5'), Move.from_uci('g3g4'), Move.from_uci('c8d6'), Move.from_uci('c1b1'), Move.from_uci('h5h4'), Move.from_uci('g2g3')]",r3kb1r/nppqp1p1/5P2/3p3p/3P4/P1N2NP1/1PP2PP1/R2QK2R b KQkq - 0 14,"['e7f6', 'd1d3', 'c7c6', 'e1c1', 'a7c8']",False
28,e7f6,e7f6,1.59,"[Move.from_uci('d1d3'), Move.from_uci('c7c6'), Move.from_uci('c3a4'), Move.from_uci('a7c8'), Move.from_uci('a4c5'), Move.from_uci('f8c5'), Move.from_uci('d4c5'), Move.from_uci('d7e7'), Move.from_uci('d3e2'), Move.from_uci('e8f7'), Move.from_uci('e2e7'), Move.from_uci('c8e7'), Move.from_uci('e1d2'), Move.from_uci('e7f5'), Move.from_uci('a3a4'), Move.from_uci('g7g5'), Move.from_uci('d2c3')]",r3kb1r/nppq2p1/5p2/3p3p/3P4/P1N2NP1/1PP2PP1/R2QK2R w KQkq - 0 15,"['d1d3', 'c7c6', 'c3a4', 'a7c8', 'a4c5']",True
29,d1d3,d1d3,1.94,"[Move.from_uci('e8c8'), Move.from_uci('f3h4'), Move.from_uci('g7g5'), Move.from_uci('h4g6'), Move.from_uci('h8h6'), Move.from_uci('g6f8'), Move.from_uci('d8e8'), Move.from_uci('e1d2'), Move.from_uci('e8f8'), Move.from_uci('a1e1'), Move.from_uci('c8b8'), Move.from_uci('d3f3')]",r3kb1r/nppq2p1/5p2/3p3p/3P4/P1NQ1NP1/1PP2PP1/R3K2R b KQkq - 1 15,"['e8c8', 'f3h4', 'g7g5', 'h4g6', 'h8h6']",True
30,g7g6,e8c8,4.27,"[Move.from_uci('d3g6'), Move.from_uci('d7f7'), Move.from_uci('g6f7'), Move.from_uci('e8f7'), Move.from_uci('c3d5'), Move.from_uci('a7b5'), Move.from_uci('c2c3'), Move.from_uci('a8d8'), Move.from_uci('d5f4'), Move.from_uci('d8e8'), Move.from_uci('e1f1'), Move.from_uci('b5d6'), Move.from_uci('f4d3'), Move.from_uci('d6c4'), Move.from_uci('a3a4'), Move.from_uci('f8h6'), Move.from_uci('h1h3'), Move.from_uci('h6d2'), Move.from_uci('a1b1'), Move.from_uci('e8a8')]",r3kb1r/nppq4/5pp1/3p3p/3P4/P1NQ1NP1/1PP2PP1/R3K2R w KQkq - 0 16,"['d3g6', 'd7f7', 'g6f7', 'e8f7', 'c3d5']",False
31,d3g6,d3g6,4.34,"[Move.from_uci('d7f7'), Move.from_uci('g6f7'), Move.from_uci('e8f7'), Move.from_uci('c3d5'), Move.from_uci('a7b5'), Move.from_uci('c2c3'), Move.from_uci('a8e8'), Move.from_uci('e1f1'), Move.from_uci('e8d8'), Move.from_uci('d5f4'), Move.from_uci('c7c5'), Move.from_uci('d4c5'), Move.from_uci('f8c5'), Move.from_uci('h1h5'), Move.from_uci('h8h5'), Move.from_uci('f4h5'), Move.from_uci('d8h8'), Move.from_uci('g3g4'), Move.from_uci('b5d6'), Move.from_uci('a1d1'), Move.from_uci('d6e4'), Move.from_uci('d1d7'), Move.from_uci('f7e6'), Move.from_uci('d7b7'), Move.from_uci('e4f2'), Move.from_uci('b7b5'), Move.from_uci('f2e4'), Move.from_uci('a3a4')]",r3kb1r/nppq4/5pQ1/3p3p/3P4/P1N2NP1/1PP2PP1/R3K2R b KQkq - 0 16,"['d7f7', 'g6f7', 'e8f7', 'c3d5', 'a7b5']",True
32,e8e7,d7f7,4.96,"[Move.from_uci('e1f1'), Move.from_uci('h8h6'), Move.from_uci('g6g8'), Move.from_uci('c7c6'), Move.from_uci('c3a4'), Move.from_uci('d7f5'), Move.from_uci('a1e1'), Move.from_uci('e7d6'), Move.from_uci('a4c5'), Move.from_uci('f5h7'), Move.from_uci('g8h7'), Move.from_uci('h6h7'), Move.from_uci('g3g4'), Move.from_uci('a7b5'), Move.from_uci('h1h5'), Move.from_uci('h7h5'), Move.from_uci('g4h5'), Move.from_uci('b5d4'), Move.from_uci('c5b7'), Move.from_uci('d6c7'), Move.from_uci('f3d4'), Move.from_uci('c7b7')]",r4b1r/nppqk3/5pQ1/3p3p/3P4/P1N2NP1/1PP2PP1/R3K2R w KQ - 1 17,"['e1f1', 'h8h6', 'g6g8', 'c7c6', 'c3a4']",False
33,e1c1,e1f1,4.97,"[Move.from_uci('h8h6'), Move.from_uci('g6g8'), Move.from_uci('c7c6'), Move.from_uci('c3a4'), Move.from_uci('d7f5'), Move.from_uci('d1e1'), Move.from_uci('e7d6'), Move.from_uci('a4c5'), Move.from_uci('f5h7'), Move.from_uci('e1e6'), Move.from_uci('d6c7'), Move.from_uci('g8h7'), Move.from_uci('h6h7'), Move.from_uci('e6f6'), Move.from_uci('f8e7'), Move.from_uci('f6f5'), Move.from_uci('a7b5'), Move.from_uci('h1h5'), Move.from_uci('h7h5'), Move.from_uci('f5h5'), Move.from_uci('b5c3')]",r4b1r/nppqk3/5pQ1/3p3p/3P4/P1N2NP1/1PP2PP1/2KR3R b - - 2 17,"['h8h6', 'g6g8', 'c7c6', 'c3a4', 'd7f5']",False
34,e7d8,h8h6,8.65,"[Move.from_uci('g6f6'), Move.from_uci('d8c8'), Move.from_uci('f6h8'), Move.from_uci('d7d6'), Move.from_uci('h8e5'), Move.from_uci('d6h6'), Move.from_uci('c1b1'), Move.from_uci('c8b8'), Move.from_uci('e5f4'), Move.from_uci('a7c8'), Move.from_uci('f3e5'), Move.from_uci('c8b6'), Move.from_uci('f4h6'), Move.from_uci('f8h6')]",r2k1b1r/nppq4/5pQ1/3p3p/3P4/P1N2NP1/1PP2PP1/2KR3R w - - 3 18,"['g6f6', 'd8c8', 'f6h8', 'd7d6', 'h8e5']",False
35,g6f6,g6f6,8.79,"[Move.from_uci('d8c8'), Move.from_uci('f6h8'), Move.from_uci('d7d8'), Move.from_uci('h1h5'), Move.from_uci('a7c6'), Move.from_uci('h5d5'), Move.from_uci('a8a3'), Move.from_uci('d5d8'), Move.from_uci('c6d8'), Move.from_uci('b2a3'), Move.from_uci('f8a3'), Move.from_uci('c1d2')]",r2k1b1r/nppq4/5Q2/3p3p/3P4/P1N2NP1/1PP2PP1/2KR3R b - - 0 18,"['d8c8', 'f6h8', 'd7d8', 'h1h5', 'a7c6']",True
36,d8c8,d8c8,8.82,"[Move.from_uci('f6h8'), Move.from_uci('d7d8'), Move.from_uci('h1h5'), Move.from_uci('c7c6'), Move.from_uci('h5f5'), Move.from_uci('f8d6'), Move.from_uci('h8d8'), Move.from_uci('c8d8'), Move.from_uci('f5h5'), Move.from_uci('a7c8'), Move.from_uci('f3e5'), Move.from_uci('d6a3'), Move.from_uci('h5h8'), Move.from_uci('d8c7'), Move.from_uci('h8h7'), Move.from_uci('c7d8'), Move.from_uci('b2a3'), Move.from_uci('a8a3'), Move.from_uci('c1d2'), Move.from_uci('c8d6')]",r1k2b1r/nppq4/5Q2/3p3p/3P4/P1N2NP1/1PP2PP1/2KR3R w - - 1 19,"['f6h8', 'd7d8', 'h1h5', 'c7c6', 'h5f5']",True
